Universidades portuguesas entre as melhores a nível mundial;;;;;;;
;;;;;;;
Universidade;2014;2015;2016;2017;2018;2019;2020
Universidade de Lisboa;46.59;46.43;46.39;44.69;77.9;78.1;78.6
Universidade do Porto;46.42;45.91;45.8;44.18;77.8;76.4;76.5
Universidade Nova de Lisboa;44.74;44.49;44.74;42.97;74.4;73.8;74.0
ISCTE - Instituto Universitário de Lisboa;-;-;-;-;-;66.9;67.0
Instituto Politécnico do Porto;-;-;-;-;-;66.8;66.4
Universidade Católica Portuguesa;-;-;-;-;-;66.4;67.1
;;;;;;;
;;;;;;;
https://cwur.org;;;;;;;
